% x,y,c (mol/m^3) @ t=0,c (mol/m^3) @ t=100,c (mol/m^3) @ t=200,c (mol/m^3) @ t=300,c (mol/m^3) @ t=400,c (mol/m^3) @ t=500,c (mol/m^3) @ t=600,c (mol/m^3) @ t=700,c (mol/m^3) @ t=800,c (mol/m^3) @ t=900,c (mol/m^3) @ t=1000,c (mol/m^3) @ t=1100,c (mol/m^3) @ t=1200,c (mol/m^3) @ t=1300,c (mol/m^3) @ t=1400,c (mol/m^3) @ t=1500,c (mol/m^3) @ t=1600,c (mol/m^3) @ t=1700,c (mol/m^3) @ t=1800,c (mol/m^3) @ t=1900,c (mol/m^3) @ t=2000,c (mol/m^3) @ t=2100,c (mol/m^3) @ t=2200,c (mol/m^3) @ t=2300,c (mol/m^3) @ t=2400,c (mol/m^3) @ t=2500,c (mol/m^3) @ t=2600,c (mol/m^3) @ t=2700,c (mol/m^3) @ t=2800,c (mol/m^3) @ t=2900,c (mol/m^3) @ t=3000
330.3134428,48.69769607,0.001528804,0.001581544,0.001638136,0.00169927,0.001765158,0.001837529,0.001915774,0.002000448,0.002095185,0.002197992,0.00230999,0.002438518,0.002579551,0.00273527,0.002919938,0.003125733,0.003357515,0.003647087,0.003977009,0.004360941,0.004888274,0.005509989,0.006287472,0.007622442,0.009294613,0.011357685,0.014502332,0.020127257,0.032654035,0.071204786,3.74E+09
0,419.99916,0.001107617,0.001145827,0.001186827,0.001231119,0.001278855,0.001331288,0.001387976,0.001449323,0.001517959,0.001592443,0.001673585,0.001766703,0.001868882,0.0019817,0.002115492,0.00226459,0.002432516,0.00264231,0.002881339,0.003159497,0.003541549,0.003991981,0.004555266,0.005522451,0.006733937,0.00822863,0.010506924,0.014582177,0.023657816,0.051587804,3.74E+09
48.30597643,389.7448513,0.001159024,0.001199007,0.001241911,0.001288258,0.00133821,0.001393076,0.001452395,0.001516589,0.001588411,0.001666351,0.00175126,0.0018487,0.001955621,0.002073675,0.002213676,0.002369694,0.002545414,0.002764946,0.003015068,0.003306136,0.00370592,0.004177258,0.004766686,0.005778759,0.007046474,0.008610539,0.010994573,0.015258967,0.024755825,0.053982102,3.74E+09
420,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
390.2102119,48.63901758,0.00152882,0.001581561,0.001638153,0.001699288,0.001765177,0.001837549,0.001915795,0.00200047,0.002095207,0.002198015,0.002310014,0.002438543,0.002579578,0.002735299,0.002919968,0.003125766,0.003357551,0.003647126,0.003977051,0.004360987,0.004888326,0.005510048,0.006287538,0.007622522,0.009294712,0.011357805,0.014502485,0.02012747,0.03265438,0.071205539,3.74E+09
0,479.99904,0.001002213,0.001036787,0.001073886,0.001113963,0.001157156,0.001204599,0.001255893,0.001311401,0.001373506,0.001440902,0.001514322,0.001598579,0.001691034,0.001793116,0.001914176,0.002049086,0.002201031,0.002390861,0.002607143,0.002858831,0.003204526,0.003612094,0.004121776,0.00499692,0.006093119,0.007445573,0.009507058,0.0131945,0.021406478,0.04667858,3.74E+09
48.40876323,449.8358267,0.001055642,0.001092059,0.001131136,0.001173349,0.001218845,0.001268818,0.001322846,0.001381314,0.00144673,0.001517718,0.001595053,0.001683802,0.001781185,0.001888709,0.002016223,0.002158325,0.002318371,0.002518321,0.002746133,0.003011239,0.003375363,0.003804659,0.004341512,0.005263312,0.00641795,0.007842505,0.010013891,0.013897914,0.022547683,0.049167069,3.74E+09
480,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
450.1205843,48.60678363,0.001528829,0.00158157,0.001638162,0.001699298,0.001765187,0.00183756,0.001915806,0.002000481,0.002095219,0.002198028,0.002310028,0.002438558,0.002579593,0.002735315,0.002919985,0.003125784,0.00335757,0.003647147,0.003977074,0.004361013,0.004888354,0.00551008,0.006287575,0.007622567,0.009294766,0.011357871,0.01450257,0.020127587,0.03265457,0.071205952,3.74E+09
0,539.99892,8.95E-04,9.26E-04,9.59E-04,9.95E-04,0.00103317,0.00107553,0.001121328,0.001170889,0.001226339,0.001286513,0.001352067,0.001427296,0.001509845,0.001600989,0.001709078,0.001829532,0.001965198,0.002134688,0.002327796,0.002552516,0.002861171,0.003225069,0.00368014,0.004461515,0.005440259,0.006647802,0.008488406,0.011780749,0.019112839,0.041677114,3.74E+09
